ticker,date,open,high,low,close,volume,adjustedClose
^BVSP,09/08/2021 10:00,122809,123597,122258,123019,7171500,123019
^BVSP,10/08/2021 10:00,123021,123513,122061,122202,8297600,122202
^BVSP,11/08/2021 10:00,122203,122756,120827,122056,8685200,122056
^BVSP,12/08/2021 19:05,122056,122095,120534,120701,11066000,120701
^BVSP,13/08/2021 10:00,120701,121275,120045,121194,10642200,121194
^BVSP,16/08/2021 10:00,121191,121191,118684,119180,9741700,119180
^BVSP,17/08/2021 10:00,119179,119179,116248,117904,11218200,117904
^BVSP,18/08/2021 10:00,117904,118739,116489,116643,11745800,116643
^BVSP,19/08/2021 10:00,116641,117453,114801,117165,10525900,117165
^BVSP,20/08/2021 10:00,117163,118308,116040,118053,8929300,118053
^BVSP,23/08/2021 10:00,118053,118445,117062,117472,7853000,117472
^BVSP,24/08/2021 10:00,117474,120463,117474,120211,9181000,120211
^BVSP,25/08/2021 10:00,120210,120818,119226,120818,7520100,120818
^BVSP,26/08/2021 10:00,120817,120833,118719,118724,8426900,118724
^BVSP,27/08/2021 10:00,118725,120678,118721,120678,7323600,120678
^BVSP,30/08/2021 10:00,120677,120684,119354,119740,6391900,119740
^BVSP,31/08/2021 10:00,119738,120157,117911,118781,11535600,118781
^BVSP,01/09/2021 10:00,118793,119942,118067,119396,9523000,119396
^BVSP,02/09/2021 10:00,119394,119397,116534,116677,9862800,116677
^BVSP,03/09/2021 10:00,116679,117396,115583,116933,12517500,116933
^BVSP,06/09/2021 10:00,116926,117981,116156,117869,5111300,117869
^BVSP,08/09/2021 10:00,117866,117866,113172,113413,12254400,113413
^BVSP,09/09/2021 10:00,113413,116354,112435,115361,13890600,115361
^BVSP,10/09/2021 10:00,115370,116896,114286,114286,11155700,114286
^BVSP,13/09/2021 10:00,114300,117046,114300,116404,9253400,116404
^BVSP,14/09/2021 10:00,116405,117270,115809,116181,9034100,116181
^BVSP,15/09/2021 10:00,116191,116312,114741,115063,9456800,115063
^BVSP,16/09/2021 10:00,115062,115062,113395,113794,10685500,113794
^BVSP,17/09/2021 10:00,113794,113794,111157,111439,14827600,111439
^BVSP,20/09/2021 10:00,111435,111435,107520,108844,11500200,108844
^BVSP,21/09/2021 10:00,108859,110923,108859,110250,11247700,110250
^BVSP,22/09/2021 10:00,110252,113321,110251,112282,12158600,112282
^BVSP,23/09/2021 10:00,112282,114330,112281,114064,11476300,114064
^BVSP,24/09/2021 10:00,114062,114062,112505,113283,9121200,113283
^BVSP,27/09/2021 10:00,113283,114432,112360,113583,10739700,113583
^BVSP,28/09/2021 10:00,113584,113584,109981,110124,13190800,110124
^BVSP,29/09/2021 10:00,110125,112028,110125,111107,11372600,111107
^BVSP,30/09/2021 10:00,111117,112371,110743,110979,13160600,110979
^BVSP,01/10/2021 10:00,110980,113020,110980,112900,10779100,112900
^BVSP,04/10/2021 10:00,112900,112900,109979,110393,11814200,110393
^BVSP,05/10/2021 10:00,110397,111691,110087,110458,10379000,110458
^BVSP,06/10/2021 10:00,110454,110614,108180,110560,13279200,110560
